episode, 	score, 	total_loss, 	actor_loss, 	critic_loss, 	entropy
12500, 	0.500000, 	0.063743, 	-0.009054, 	0.000729, 	1.353895
12501, 	0.200000, 	0.103242, 	-0.028409, 	0.001318, 	1.353127
12502, 	0.200000, 	0.029794, 	-0.040227, 	0.000702, 	1.353206
12503, 	0.100000, 	0.080656, 	-0.033261, 	0.001141, 	1.353703
12504, 	0.300000, 	0.096767, 	-0.027119, 	0.001240, 	1.352994
12505, 	0.200000, 	0.162425, 	-0.044148, 	0.002067, 	1.352642
12506, 	0.100000, 	0.039005, 	-0.010808, 	0.000499, 	1.352228
12507, 	0.190000, 	0.076375, 	-0.050703, 	0.001272, 	1.352035
12508, 	0.300000, 	0.120984, 	-0.078858, 	0.002000, 	1.349726
12509, 	0.190000, 	0.115135, 	-0.064017, 	0.001793, 	1.350209
12510, 	0.100000, 	0.204364, 	-0.081473, 	0.002860, 	1.350417
12511, 	0.190000, 	0.060802, 	-0.003649, 	0.000646, 	1.351971
12512, 	0.090000, 	0.085914, 	-0.032501, 	0.001186, 	1.353371
12513, 	0.000000, 	0.149638, 	-0.034603, 	0.001844, 	1.354281
12514, 	0.290000, 	0.001436, 	-0.027023, 	0.000286, 	1.357931
12515, 	0.100000, 	0.017009, 	-0.072520, 	0.000897, 	1.358101
12516, 	0.000000, 	0.087097, 	-0.045468, 	0.001327, 	1.357679
12517, 	0.000000, 	0.094829, 	-0.014858, 	0.001098, 	1.357588
12518, 	0.500000, 	0.076833, 	0.017242, 	0.000597, 	1.353687
12519, 	0.400000, 	0.075387, 	-0.045805, 	0.001213, 	1.351608
12520, 	0.100000, 	0.161084, 	-0.034522, 	0.001957, 	1.351919
12521, 	0.090000, 	0.099804, 	-0.024595, 	0.001245, 	1.353514
12522, 	0.090000, 	0.226584, 	-0.043979, 	0.002707, 	1.356498
12523, 	0.300000, 	0.074184, 	-0.038175, 	0.001125, 	1.356499
12524, 	0.000000, 	0.174059, 	-0.045356, 	0.002196, 	1.356677
12525, 	0.300000, 	0.183245, 	-0.062309, 	0.002457, 	1.358014
12526, 	0.300000, 	0.071647, 	-0.026100, 	0.000979, 	1.356603
12527, 	0.200000, 	0.117713, 	-0.043662, 	0.001615, 	1.356152
12528, 	0.700000, 	0.039032, 	-0.053189, 	0.000924, 	1.350252
12529, 	0.090000, 	0.266151, 	-0.051305, 	0.003176, 	1.350221
12530, 	0.200000, 	0.093879, 	-0.040400, 	0.001344, 	1.352358
12531, 	2.000000, 	0.130332, 	-0.048780, 	0.001792, 	1.350418
12532, 	0.100000, 	0.471649, 	-0.192709, 	0.006645, 	1.350526
12533, 	0.100000, 	0.076774, 	-0.040627, 	0.001175, 	1.349989
12534, 	0.100000, 	0.347176, 	-0.107370, 	0.004547, 	1.350385
12535, 	0.300000, 	0.078268, 	-0.011027, 	0.000894, 	1.350416
12536, 	0.200000, 	0.090512, 	0.009722, 	0.000809, 	1.351378
12537, 	0.100000, 	0.148613, 	-0.075143, 	0.002239, 	1.351575
12538, 	0.300000, 	0.295382, 	-0.046937, 	0.003425, 	1.351572
12539, 	0.190000, 	0.147515, 	-0.051584, 	0.001992, 	1.353137
12540, 	0.300000, 	0.114738, 	0.023555, 	0.000913, 	1.355645
12541, 	0.500000, 	0.085441, 	0.009371, 	0.000762, 	1.354700
12542, 	0.300000, 	0.033355, 	-0.069365, 	0.001029, 	1.357019
